_id,age,draf,height,nation,number,player,position,pre_draf_team,team,weight,yos
5bfa2d1cdc6f74efb340a1f9,21,2017 Rnd 1 Pick 16,7-0,United States,0,Justin Patton,C,Creighton,Philadelphia Sixers,230,1
5bfa2d1cdc6f74efb340a1fa,33,2005 Rnd 1 Pick 4,6-0,United States,3,Chris Paul,PG,Wake Forest,Houston Rockets,175,13
5bfa2d1cdc6f74efb340a1fb,24,2015 Rnd 1 Pick 14,6-3,United States,22,Cameron Payne,G,Murray State,Chicago Bulls,190,3
5bfa2d1cdc6f74efb340a1fc,24,2014 Rnd 1 Pick 10,6-4,United States,4,Elfrid Payton,G,Louisiana,New Orleans Pelicans,185,4
5bfa2d1cdc6f74efb340a1fd,23,"2018 NBA Draft, Undrafted",6-6,United States,10,Theo Pinson,SG,North Carolina,Brooklyn Nets,218,0
5bfa2d1cdc6f74efb340a1fe,28,2013 Rnd 1 Pick 22,6-11,United States,24,Mason Plumlee,PF,Duke,Denver Nuggets,255,5
5bfa2d1cdc6f74efb340a1ff,30,2012 Rnd 1 Pick 26,6-11,United States,18,Miles Plumlee,C,Duke,Atlanta Hawks,249,6
5bfa2d1cdc6f74efb340a200,23,2016 Rnd 1 Pick 9,7-0,Austria,25,Jakob Poeltl,C,Utah,San Antonio Spurs,230,2
5bfa2d1cdc6f74efb340a201,30,2010 Rnd 1 Pick 26,6-7,United States,3,Quincy Pondexter,F,Washington,San Antonio Spurs,230,8
5bfa2d1cdc6f74efb340a202,20,2018 Rnd 1 Pick 14,6-10,United States,1,"Michael Porter, Jr.",PF,Missouri,Denver Nuggets,210,0
5bfa2d1cdc6f74efb340a203,25,2013 Rnd 1 Pick 3,6-8,United States,22,Otto Porter,SF,Georgetown,Washington Wizards,198,5
5bfa2d1cdc6f74efb340a204,23,2015 Rnd 1 Pick 22,6-11,United States,5,Bobby Portis,PF,Arkansas,Chicago Bulls,250,3
5bfa2d1cdc6f74efb340a205,23,2015 Rnd 1 Pick 4,7-3,Latvia,6,Kristaps Porzingis,FC,Real Betis Energia Plus (Spain),New York Knicks,240,3
5bfa2d1cdc6f74efb340a206,27,2014 Rnd 2 Pick 15,6-11,Canada,7,Dwight Powell,PF,Stanford,Dallas Mavericks,240,4
5bfa2d1cdc6f74efb340a207,25,2015 Rnd 2 Pick 16,6-4,United States,24,Norman Powell,SG,UCLA,Toronto Raptors,215,3
5bfa2d1cdc6f74efb340a208,25,"2016 NBA Draft, Undrafted",6-9,United States,22,Alex Poythress,F,Kentucky,Atlanta Hawks,235,2
